id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
253507,UNICEF National Committee/Japan,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,120303.00,Paid Contribution,2022
253508,UNICEF National Committee/Australia,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,105411.00,Paid Contribution,2022
253509,UNICEF National Committee/Austria,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,92438.00,Paid Contribution,2022
253510,UNICEF National Committee/Poland,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,80798.00,Paid Contribution,2022
253511,UNICEF National Committee/New Zealand,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,50990.00,Paid Contribution,2022
253512,UNICEF National Committee/Czech Republic,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,40158.00,Paid Contribution,2022
253513,"Estonia, Government of",United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,36765.00,Paid Contribution,2022
253514,UNICEF National Committee/Portugal,United Nations Children's Fund,"Thematic Cross Sectoral - Afghanistan	Cross-Sectoral (two or more outcome areas)",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,29318.00,Paid Contribution,2022
253515,UNICEF National Committee/Denmark,United Nations Children's Fund,"Support to nutrition crisis - Afghanistan	Nutrition",Nutrition,11293.00,Paid Contribution,2022
253516,UNICEF National Committee/Iceland,United Nations Children's Fund,Thematic Cross Sectoral - Afghanistan,Education | Health | Nutrition | Protection | Water Sanitation Hygiene,4930.00,Paid Contribution,2022
253517,Private (individuals & organizations),United Nations Children's Fund,Thematic Cross Sectoral - Afghanistan UNICEF-THAILAND,Education | Health | Nutrition | Protection | Water Sanitation Hygiene,134.00,Paid Contribution,2022
254004,Save the Children,Children in Crisis,"Emergency Project	ECW-FER-Community Basedd Education in Uruzgan Province",Education,499560.00,Paid Contribution,2022
254005,Oxfam International,Children in Crisis,"Emergency Project	Improving Accounting in Education Secror",Education,53687.00,Paid Contribution,2022
254182,"Australia, Government of",Afghanistan Humanitarian Fund,AUSTRALIA TO AFGHAN CHF MAR22,,1461331.00,Paid Contribution,2022
254185,"Iceland, Government of",Afghanistan Humanitarian Fund,ICELAND TO AFGHAN CHF MAY22,,308190.00,Paid Contribution,2022
254189,"Luxembourg, Government of",Afghanistan Humanitarian Fund,LUXEMBOURG - AFGHAN CHF APR22,,368373.00,Paid Contribution,2022
254192,"Malaysia, Government of",Afghanistan Humanitarian Fund,MALAYSIA TO AFGHAN CHF MAY22,,100000.00,Paid Contribution,2022
254195,"Philippines, Government of",Afghanistan Humanitarian Fund,PHILIPPINES TO AFGHAN CHF AP22,,200000.00,Paid Contribution,2022
254261,"Australia, Government of",Afghanistan Humanitarian Fund,AUSTRALIA TO AFGHAN CHF MAY22,,2870103.00,Paid Contribution,2022
254446,Afghanistan Humanitarian Fund,World Health Organization,"Improving access of the vulnerable people to primary and essential healthcare, emergency nutrition, and outbreak response services",Health,5826157.00,Paid Contribution,2022
254447,Afghanistan Humanitarian Fund,World Health Organization,"Improving access of the vulnerable people to primary and essential healthcare, emergency nutrition, and outbreak response services",Nutrition,576213.00,Paid Contribution,2022
254448,Afghanistan Humanitarian Fund,ActionAid International,Cash for food assistance for food insecure households in Nangarhar province (Khogyani & Sherzad districts),Food Security,999855.00,Paid Contribution,2022
254449,Afghanistan Humanitarian Fund,Danish Refugee Council,Integrated Protection and CCCM programming in underserved sites and informal settlements in Kandahar city,Emergency Shelter and NFI,611097.00,Paid Contribution,2022
254450,Afghanistan Humanitarian Fund,Cordaid International,Shelter Construction support to Flood affected Population in Herat Province,Emergency Shelter and NFI,782035.00,Paid Contribution,2022
254451,Afghanistan Humanitarian Fund,Afghan Women Rights Organization,Food Assistance in Kuz Kunar and Behsud districts of Nangarhar province targeting IPC level 4 households,Food Security,557531.00,Paid Contribution,2022
254452,Afghanistan Humanitarian Fund,Afghanaid,Emergency transitional and shelter repair assistance in Samangan,Emergency Shelter and NFI,600742.00,Paid Contribution,2022
254453,Afghanistan Humanitarian Fund,Agency for Assistance and Development of Afghanistan,Provision of COVID-19 response and case management services through 20 beds COVID-19 hospital in Zabul province.,Health,331521.00,Paid Contribution,2022
254454,Afghanistan Humanitarian Fund,Community Action for Healing Poverty Organization,Cash-based emergency food assistance to shock affected households (IPC Phase 4) in Darzab & Qush Tepa districts of Jawzjan province.,Food Security,560261.00,Paid Contribution,2022
254456,Afghanistan Humanitarian Fund,Organization for Relief and Development,Transitional Shelter and Shelter Repair/Upgrade Assistance for Natural Disaster (floods) affected households in Farah Province (Farah City),Emergency Shelter and NFI,463224.00,Paid Contribution,2022
254459,Afghanistan Humanitarian Fund,Agency for Assistance and Development of Afghanistan,Provision of lifesaving integrated health and nutrition services for the people in underserved and flood-prone locations of Takhar and Faryab provinces of Afghanistan,Nutrition,343262.00,Paid Contribution,2022
254461,Afghanistan Humanitarian Fund,Agency for Assistance and Development of Afghanistan,Provision of lifesaving integrated health and nutrition services for the people in underserved and flood-prone locations of Takhar and Faryab provinces of Afghanistan,Health,147112.00,Paid Contribution,2022
254465,Afghanistan Humanitarian Fund,Organization for Relief and Development,Transitional Shelter and Shelter Repair/Upgrade Assistance for Natural Disaster (floods) affected households in Sar-e-Pul Province (Sar-e-Pul),Emergency Shelter and NFI,508997.00,Paid Contribution,2022
254466,Afghanistan Humanitarian Fund,Children in Crisis,"Provision of Protection Services to vulnerable children and their care givers in Kabul, Kandahar, Hirat and Urozgan provinces",Protection - Child Protection,293665.00,Paid Contribution,2022
254468,Afghanistan Humanitarian Fund,Danish Refugee Council,Integrated Protection and CCCM programming in underserved sites and informal settlements in Kandahar city,Protection,358898.00,Paid Contribution,2022
254474,Afghanistan Humanitarian Fund,Demining Agency for Afghanistan,Survey and Clearance of High Priority Legacy Hazards and Provision of EORE in Baghlan Province,Protection - Mine Action,495579.00,Paid Contribution,2022
254476,Afghanistan Humanitarian Fund,HALO Trust,"Improving human security and livelihood opportunities through the removal of improvised explosive devices (IEDs) and the delivery of explosive ordnance risk education in Chaghcharan district, Ghor province",Protection - Mine Action,699999.00,Paid Contribution,2022
254480,Afghanistan Humanitarian Fund,Society Educational Awareness Research Consultancy and Health Organization,Livelihood Support Through Distribution of Vegetable Kits in Kunar Province,Food Security,350626.00,Paid Contribution,2022
254481,Afghanistan Humanitarian Fund,Village of Peace Organization for Afghans,Life-Saving Cash for Food Assistance for IPC Phase 4 Food Insecure People in Shahristan district of Daikundi Province,Food Security,498923.00,Paid Contribution,2022
254482,Afghanistan Humanitarian Fund,International Organization for Migration,Establishment of community resource centres and mobile CCCM teams in underserved communities in Sari-pul and Jawzjan provinces,Emergency Shelter and NFI,1194501.00,Paid Contribution,2022
254483,Afghanistan Humanitarian Fund,United Nations Children's Fund,"Enhancing partner staffs and communities including Child Protection Networks’ capacity, to protect children and their caregivers from all forms of violence and facilitate referrals for children at risk to response services in eight districts of Farah and Badghis provinces",Protection - Child Protection,249995.00,Paid Contribution,2022
254661,Office for the Coordination of Humanitarian Affairs,Office for the Coordination of Humanitarian Affairs,"Afghanistan - OCHA Office [Donor:O548, Recipient:O445]",Coordination and support services,532369.00,Paid Contribution,2022
254682,"Australia, Government of",World Food Programme,"WFP Afghanistan Country Strategic Plan 2018-2023, contributes to 2022 HRP",Food Security,21082221.00,Paid Contribution,2022
254683,"Australia, Government of",United Nations Population Fund,"Integrated approach to SRH and GBV prevention and response for returnees, internally displaced persons and host communities project",Protection | Protection - Gender-Based Violence,7730148.00,Paid Contribution,2022
254684,"Australia, Government of",United Nations High Commissioner for Refugees,"Integrated approach to SRH and GBV prevention and response for returnees, internally displaced persons and host communities project
Afghanistan Humanitarian Response Plan 2022	Emergency Shelter and NFI; Protection; Water, Sanitation and Hygiene","Emergency Shelter and NFI | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Protection - Housing, Land and Property | Protection - Mine Action | Water Sanitation Hygiene",3663004.00,Paid Contribution,2022
254715,"Kuwait, Government of",World Food Programme,Grant from Kuwait for WFP Afghanistan HRP. Sector not specified yet,,1000000.00,Paid Contribution,2022
254812,"United Arab Emirates, Government of",Big Heart Foundation | Khalifa Bin Zayed Al Nahyan Foundation | Mohamad Bin Rashid Al Maktoum Foundation | Red Crescent Society of the United Arab Emirates | Sharjah Charity House,"Send 30 tons of food aid to people affected by earthquake in Paktika and Khost Provinces, Afghanistan . In addition to logistical operations and support.",Food Security,1000000.00,Paid Contribution,2022
254839,World Bank,United Nations Children's Fund,"Afghanistan: Afghanistan Health Emergency Response (HER) Project	Health",Health,150000000.00,Paid Contribution,2022
254840,World Bank,United Nations Children's Fund,"Afghanistan:Health Emergency Response (HER) Project _GFF grant	Health",Health,19000000.00,Paid Contribution,2022
254894,UNICEF National Committee/Germany,United Nations Children's Fund,"Thematic Humanitarian Funds for Cross-Sectoral Activities-Afghanistan	Cross-Sectoral (two or more outcome areas)	THM HUMANITAR 2022-2025",Education | Health | Nutrition | Protection | Water Sanitation Hygiene,8654040.00,Paid Contribution,2022
255064,Central Emergency Response Fund,United Nations Children's Fund,WASH and Education in Emergency Response for Most Vulnerable Population affected by the earthquake in Afghanistan,,0.00,Paid Contribution,2022
255065,Central Emergency Response Fund,United Nations Children's Fund,WASH and Education in Emergency Response for Most Vulnerable Population affected by the earthquake in Afghanistan,Education,750000.00,Paid Contribution,2022
